id,network,capacity,description,lng,lat
450536322,Bysykkel,12,37-Johan Sverdrups plass - Vogts gate (øvreTorshov),10.7621259985019,59.9314773947468
1319550185,Bysykkel,15,108-Nylandsveien v/krysset Urtegt./Vahlsgt- stativ 2,10.7625030985019,59.9156444947466
1319550187,Bysykkel,15,107-Nylandsveien v/krysset Urtegt./Vahlsgt-stativ 1,10.7627820985018,59.9157197947466
451010273,Bysykkel,15,52-Helga Helgesens plass 2.(Gr.Landsleir./Åkebergv/Politi),10.7661987985013,59.9121085947465
1319550210,Bysykkel,12,78-Dælenenggt. 41,10.7668799985012,59.9289499947469
1319550200,Bysykkel,18,87-Helgesensgt. vis-a-vis nr. 58,10.7671199985012,59.9230399947467
1319550164,Bysykkel,14,82-Oslogate 37,10.7671499985012,59.9034599947463
1319550165,Bysykkel,12,30-Oslogt. (Gamlebyen under Jernbanebro),10.7675671985011,59.9078883947464
1319550209,Bysykkel,9,79-Fagerheimgt. 11,10.7677399985011,59.9288699947468
1319550189,Bysykkel,18,43-Jens Bjelkesgt.(motsatt side nr.39),10.769049998501,59.9159899947466
1319550201,Bysykkel,10,46-Trondheimsveien 64 (v.Sofienberg holdeplass og Kiwi),10.7716099985006,59.9231899947467
448599738,Bysykkel,11,42-Tøyen T-bane -inng.Hagegt.,10.7743732985002,59.9146079947466
1319550203,Bysykkel,8,40-Carl Berners (krysset Finnmarksgt./Frydensgt),10.7759355985,59.9250467947468
1319550169,Bysykkel,21,84-Jens Bjelkesgt./Sverresgt. (Tøyen),10.7760373985,59.9115321947465
1319550186,Bysykkel,15,85-Økernveien v/Caltexløkka,10.7772230984998,59.9156874947466
1319550163,Bysykkel,12,86-Dyvekesvei/Konowsgt.,10.7780499984997,59.9034317947464
